название вакансии,URL,Название компании,Описание
Senior Scala Developer,https://hh.ru/vacancy/30498146?query=Python, Криптонит,"Реализация компонентов платформы, связанных с обработкой больших данных. Реализация распределенных алгоритмов на больших данных и внедрение моделей машинного обучения. Профильное образование: информационные технологии, статистика, математика. Опыт работы по специальности от 5-7 лет. Опыт разработки на Scala от 3..."
"Инженер по тестированию / QA engineer (Automation, Load Testing)",https://hh.ru/vacancy/29886612?query=Python, ANCOR FinTech,"Разработка средств нагрузочного тестирование, проведение НТ и анализ результатов. Составление методик и отчетов по нагрузочному тестированию. Поддержка и разработка автотестов...Опыт программирования на одним из ЯП: Java, C#, C++, Python. Опыт работы с bug-tracking системами (Jira, HP ALM). "
Администратор баз данных (PostgreSQL),https://hh.ru/vacancy/31019737?query=Python, Вайлдберриз,"Администрирование и поддержание работоспособности СУБД postgresql. - Инсталляция и настройка СУБД. - Подготовка сред для задач разработки и тестирования. - Анализ системных ошибок. - опыт администрирования Linux. - Опыт автоматизации рутинных процессов на скриптовых языках (shell/python/etc). Также будет здорово, если вы имеете: -опыт..."
Младший специалист по автоматизированному тестированию,https://hh.ru/vacancy/31003955?query=Python, Сибур,"Поддержка и развитие существующих автотестов. Запуск и анализ результатов автотестов. Составление отчетов о результатах проведенного тестирования. Работа с дефектами. Будет плюсом: JIRA, Git, Selenium, Jmeter, Java, Python, понимание CI/CD. Желание развиваться в области тестирования (автотесты). Готовность к ручному..."
Системный администратор (Network),https://hh.ru/vacancy/30122374?query=Python, Лига Ставок,"Участие в настройке распределенных систем мониторинга сети. Администрирование систем мониторинга. Администрирование сетевой инфраструктуры компании. Автоматизация повседневных задач. Мониторинг корпоративной сети...Опыт администрирование OS Linux. Владение shell, Python, expect для автоматизации управления устройствами. Желательно: Опыт работы с сетевым оборудованием Cisco, HP..."
Web-аналитик (программист) в SEO,https://hh.ru/vacancy/29362580?query=Python, Rambler Group,"Управление внутренними инструментами (улучшение и регулярные обновления системы внутренней перелинковки сайта, управление и доработки нейросетью для обработки нескольких миллионов картинок...Владение инструментами для обработки и анализа данных. Опыт программирования (Python или др.) Использование sql-запросов. Умение работать в команде и..."
Product Validation Engineer,https://hh.ru/vacancy/30906644?query=Python,ООО Cadence Design Systems,"Run and analyze regression tests. GUI testing: new functionality automation test coverage & manual testing. Create Test Cases for assigned requests...Unix platform knowledge and work experience. Scripting languages knowledge (sh, tcsh, Perl, Python). Knowledge of the Software Engineering Methodologies. "
Разработчик хранилищ данных (Hadoop) и ETL,https://hh.ru/vacancy/30244805?query=Python, Сбербанк для экспертов,"Полный цикл разработки всех слоев хранилища данных и отображения отчетности. Участие в составление плана проекта, оценка проектных сроков и рисков. У меня есть опыт разработки на Java, Python или Skala. Я умею программировать на Spark витрины данных (ETL-процессы, обвязки..."
Аналитик (команда Поиска),https://hh.ru/vacancy/30474931?query=Python, HeadHunter::Технический департамент,Использование различных источников данных для выявления паттернов; пользовательского поведения. Формулирование и проверка гипотез. Проектирование метрик A/B экспериментов (проверка устойчивости...Знание и опыт работы с python. Работа с базами данных и отличное знание SQL. Хорошее понимание математической статистики. 
Разработчик C++ под Linux,https://hh.ru/vacancy/30208573?query=Python,ООО ИКС-ПРО,Разработка серверного ПО и поддержка уже существующего. Написание документации.Опыт разработки клиент-серверных приложений. Знание Linux на уровне пользователя. Знание SQL. Опыт администрирования Linux и PostgreSQL. Знание Python (Желательно).
Руководитель направления (кредитные риски розничного бизнеса),https://hh.ru/vacancy/30408520?query=Python,АО Банк ДОМ.РФ,"Разработка/Review риск политик по новым/существующим кредитным продуктам с использованием информации из внутренних источников, БКИ, Телеком, интернет-источники, ритейлеры...Умение написания сложных запросов в SQL обязателен, опыт работы с использованием SAS или Python желательно. Владение аппаратом математической статистики, опыт..."
Разработчик ПО,https://hh.ru/vacancy/31000226?query=Python,ООО Прогматик Лаб,"Участие в разработках в среде OpenStack и Kubernetes для использования в различных деплойментах, включая доработку компонентов, окружающего инструментария и средств...Опыт разработки ПО или DevOps. Желателен опыт в: Ansible, Infrastructure deployment systems, Python, Docker, Kubernetes, Go, AWS EC2, VPC..."
R&D Architect,https://hh.ru/vacancy/31029892?query=Python, Инфосистемы Джет,"Разработка и проектирование инновационных продуктов в области высоконагруженных прикладных систем. Общение с Заказчиками, понимание их потребностей. Исследование конкурентных решений. ...усваивать новую информацию, ответственность и ориентированность на результат. Знание стека технологий (Java, Python, Linux, PostgreSQL, C++, Kotlin и т.д.)."
Разработчик С++,https://hh.ru/vacancy/23421630?query=Python, WayRay,"Разработка и поддержка C++ приложений. Разработка и поддержка unit и integration тестов, интеграция этих тестов в CI систему. Английский на уровне intermediate и выше. Опыт разработки приложений на Qt. Знание библиотек boost. Знание Python. Опыт работы с CMake. "
Помощник системного администратора в команду разработчиков САПР,https://hh.ru/vacancy/31026296?query=Python, CSoft Development,"Установка, настройка и поддержка работы виртуальных и физических серверов (LAMP, Postfix/Dovecot, MySQL, MSSQL, TeamCity, SVN, Active Directory). Навыки программирования на Perl/Shell/Python. Опыт автоматизации резервного копирования и репликации SQL серверов. Желание учиться и готовность занять позицию..."
Инженер по автоматизированному тестированию (QA Automation Engineer),https://hh.ru/vacancy/29565084?query=Python, WayRay,"Разработка сценариев тестирования программного обеспечения навигационных и IoT устройств. Ручное выполнение сценариев тестирования. Автоматизация сценариев тестирования. Запуск и разбор результатов...Владение linux shell, SQL, git, языком программирования Python. Знание принципов и методологий тестирования. Знание английского языка на уровне не ниже..."
Аналитик CRM,https://hh.ru/vacancy/27421414?query=Python,ПАО МТС,"Собирать и исследовать данные, структурировать их, проверять гипотезы, искать зависимости и аномалии. Работать с кластерным анализом - разделять клиентов на группы...Умение работать с большими объемами сырых данных. Навыки обработки данных в Python (знание pandas). Знание SQL. Аналитический склад ума. "
IT Lead (Digital Asset Risk Management / IS Security),https://hh.ru/vacancy/31028911?query=Python, Johnson & Johnson,"Serve as the primary ISRM DARM - point of contact for digital assets for specific EMEA-countries/clusters. Conduct pre-launch...Knowledge of Drupal. Knowledge of PHP, Python, Java, JavaScript, SQL, HTML5, and CSS3. Knowledge of Web Services technologies..."
Руководитель направления Data tools,https://hh.ru/vacancy/30995608?query=Python, Сбербанк для экспертов,"Анализ поведения клиентов, поиск причин и закономерностей в данных, проверка гипотез. Анализ эффективности банковских продуктов. Представление результатов анализа, оформление лаконичных...Высшее образование: математическое, ИТ, экономико-математическое. Продвинутый уровень SQL. Навыки программирования на Python. Навыки работы с инструментами BI (Qlik и..."
Senior SQA Engineer/SQA Engineer,https://hh.ru/vacancy/30392596?query=Python, Align Technology Inc,"API тестирование архитектуры REST. Проводить тестирование интеграции API с другими приложениями. Планировать работы по автоматизации тестирования. Делать рефакторинг и оптимизировать...Опыт работы от 1-3 года с языком программирования (Python/Java). Знания основных принципов архитектуры REST API, а также HTTP..."
Руководитель DevOps,https://hh.ru/vacancy/30994693?query=Python, Неофлекс,"Управление распределённой командой DevOps инженеров. Взаимодействие с заказчиками и подготовка технической экспертизы по проектам. Внедрение DevOps-практик в процесс разработки...Умение программировать на одном из скриптовых языков (например: Shell, Python). Навык деловой коммуникации с сотрудниками других подразделений и заказчиком. "
Главный инженер OpenStack,https://hh.ru/vacancy/30522288?query=Python, Ростелеком - Центры обработки данных,"Поддержка существующих инсталляций OpenStack и их развитие. Разработка механизмов и средств автоматизации жизненного цикла платформы, гипервизоров, ВМ. Внедрение методик CI...Опыт построения кластерных систем (например, Corosync, Pacemaker). Опыт написания скриптов и приложений на Python, Bash. Понимание концепции SDN. "
Системный инженер OpenStack,https://hh.ru/vacancy/30523064?query=Python, Ростелеком - Центры обработки данных,"Поддержка существующих инсталляций OpenStack и их развитие. Разработка механизмов и средств автоматизации жизненного цикла платформы, гипервизоров, ВМ. Внедрение методик CI...Опыт построения кластерных систем (например, Corosync, Pacemaker). Опыт написания скриптов и приложений на Python, Bash. Понимание концепции SDN. "
Quantitative Researcher Intern /стажер,https://hh.ru/vacancy/29951181?query=Python," Агентство 21 век, КЦ","Работа с большими и сложными наборами данных для построения количественных моделей, которые предсказывают будущие движения цен. Применение современных математических и......техника, экономика ведущих ВУЗов. Аспиранты. Уверенное владение английским языком. Навыки программирования на Python (numpy, sklearn, pandas, matplotlib и т. Д.)."
Старший инженер по физическому проектированию СБИС,https://hh.ru/vacancy/29680847?query=Python,АО НПЦ «ЭЛВИС»,Разработка топологии блоков и кристаллов СБИС. Логический синтез RTL. Внедрение DFT и Low Power.Знание подходов к Signoff STA. Понимание результатов временного анализа. Знание Tcl/Perl/Python/Shell для автоматизации задач. Опыт физической верификации. 
Инженер NMS/OSS,https://hh.ru/vacancy/31015599?query=Python, CPM,"Мониторинг, администрирование, установка, настройка, интеграция, поддержка, оптимизация работы систем, относящихся к категории NMS/OSS (Network Management System/Operational Support System...Опыт написания скриптов на Shell, Perl, Python. Знание SQL, PL/SQL, Oracle DB. Понимание основных бизнес- и технологических процессов телекоммуникационных..."
